id,root,affix,info,pos,tense,person,possession,cases,verb_voice1,verb_voice2,verb_voice3,verb_func,impulsion,degree,copula,singular,plural,question,negative,polite,lexical_affixes,syntactical_affixes
1320,almash/yoz/kamay/uzay/ishla,(t)Tirgandik,"",VERB,Past,,,,,,,,,,,,,,,,(t)Tir Gan,di k
436,ayt/qil/ishla,(t)Tirgandilar,"FEL nisbat",VERB,Past,,,,,,,,,,,,1,,,,(t)Tir gan,di lar
437,ayt/qil/ishla,(t)Tirganding,"FEL nisbat",VERB,Past,,,,,,,,,,,,,,,,(t)Tir gan,di ng
438,ayt/qil/ishla,(t)Tirgandingiz,"FEL nisbat",VERB,Past,,,,,,,,,,,,,,,,(t)Tir gan,di ngiz
1346,almash/yoz/kamay/uzay/ishla,(t)Tirgani,"",VERB,Past,3,3,,Causative,,,Participle,,,,1,,,,,(t)Tir Gan,i
1347,almash/yoz/kamay/uzay/ishla,(t)Tirganim,"",VERB,Past,,1,,Causative,,,Participle,,,,1,,,,,(t)Tir Gan,im
1348,almash/yoz/kamay/uzay/ishla,(t)Tirganing,"",VERB,Past,,2,,Causative,,,Participle,,,,1,,,,,(t)Tir Gan,ing
1333,almash/yoz/kamay/uzay/ishla,(t)Tirganingdan,"",VERB,,,,,Causative,,,Participle,,,,,,,,,(t)Tir Gan,ing dan
1334,almash/yoz/kamay/uzay/ishla,(t)Tirganingga,"",VERB,,,,,,,,,,,,,,,,,(t)Tir Gan,ing ga
1349,almash/yoz/kamay/uzay/ishla,(t)Tirganingiz,"",VERB,Past,,2,,Causative,,,Participle,,,,,,,,,(t)Tir Gan,ingiz
1332,almash/yoz/kamay/uzay/ishla,(t)Tirganingizdan,"",VERB,,,,,Causative,,,Participle,,,,,,,,,(t)Tir Gan,ingiz dan
1351,almash/yoz/kamay/uzay/ishla,(t)Tirganingizga,"",VERB,,,,Dative,Causative,,,Participle,,,,,,,,,(t)Tir Gan,ingiz ga
1331,almash/yoz/kamay/uzay/ishla,(t)Tirganingizni,"",VERB,Past,,,,,,,,,,,,,,,,(t)Tir Gan,ingiz ni
1330,almash/yoz/kamay/uzay/ishla,(t)Tirganingni,"",VERB,Past,,,,,,,,,,,,,,,,(t)Tir Gan,ing ni
1344,almash/yoz/kamay/uzay/ishla,(t)Tirganlar,"",VERB,Past,,,,,,,,,,,,1,,,,(t)Tir Gan lar,
1783,ayt/qil/ishla,(t)Tirganmi,"VERB",VERB,Past,,,,,,,,,,,,,,,,(t)Tir gan mi,
435,ayt/qil/ishla,(t)Tirganmidi,"FEL nisbat",VERB,Past,,,,,,,,Message,,,,,1,,,(t)Tir gan mi,di
1321,ayt/qil/ishla,(t)Tirganmidik,"",VERB,Past,,,,,,,,,,,,,1,,,(t)Tir Gan mi,di k
440,ayt/qil/ishla,(t)Tirganmiding,"FEL nisbat",VERB,Past,,,,,,,,,,,,,1,,,(t)Tir gan mi,di ng
439,ayt/qil/ishla,(t)Tirganmidingiz,"FEL nisbat",VERB,Past,,,,,,,,,,,,,1,,,(t)Tir gan mi,di ngiz
1312,almash/yoz/kamay/uzay/ishla,(t)Tirib,"",VERB,Past,,,,,,,,,,,,,,,,(t)Tir (i)b,
1313,almash/yoz/kamay/uzay/ishla,(t)Tiribdi,"",VERB,Past,,,,,,,,Message,,,,,,,,(t)Tir (i)b,di
1624,almash/yoz/kamay/uzay/ishla,(t)Tiriladigan,"",VERB,Past,,,,,,,,,,,,,,,,(t)Tir (i)l (a)digan,
609,ayt/qil/ishla,(t)Tirildi,"{t+tir+il}+di 3 ta FEL nisbati",VERB,Past,,,,,,,,Message,,,,,,,,(t)Tir (i)l,di
1342,almash/yoz,(t)Tirildik,"",VERB,Past,,,,,,,,,,,,,,,,(t)Tir (i)l,di k
1343,almash/yoz/kamay/uzay/ishla,(t)Tirildikmi,"",VERB,Past,3,,,Causative,Passive,,Finite,,,,,,1,,,(t)Tir (i)l mi,di k
611,ayt/qil/ishla,(t)Tirildimi,"",VERB,Past,,,,Causative,Passive,,Participle,Message,,,,,1,,,(t)Tir (i)l mi,di
1341,almash/yoz/kamay/uzay/ishla,(t)Tirildingiz,"",VERB,Past,3,,,Causative,Passive,,Finite,,,,,,,,,(t)Tir (i)l,di ngiz
1340,almash/yoz/kamay/uzay/ishla,(t)Tirildingizmi,"",VERB,,,,,,,,,,,,,,1,,,(t)Tir (i)l mi,di ngiz
1339,almash/yoz/kamay/uzay/ishla,(t)Tirildingmi,"",VERB,,,,,,,,,,,,,,1,,,(t)Tir (i)l mi,di ng
610,ayt/qil/ishla,(t)Tirilgan,"",VERB,Past,3,,,Causative,Passive,,Participle,,,,1,,,,,(t)Tir (i)l Gan,
1383,almash/yoz/kamay/uzay/ishla,(t)Tirilganda,"",VERB,,,,Locative,Causative,Passive,,Participle,,,,1,,,,,(t)Tir (i)l Gan,da
